PLATFORM_MOD,Spends
Spotify,14410857.613999972
Wynk,1582000.0
Affle Mediasmart - Biryani Outlets,2805488.269999999
Hotstar,56081073.72475254
Digirovers,50278.379999999976
Mediakart,8628839.99999999
Mx Player,1273597.0200000019
Ttd Pokkt,981906.2503379729
Glance,6480000.0
Moj,1503889.138478358
Sharechat,13551680.984089894
Affle,7671707.999999994
Quora,5443419.141111117
Hotstar Burst,25805683.39368201
Hotstar Ros,31921153.07246203
Jio Ads,5463585.928886001
Google Search,158392.04
